iter	Logloss
0	0.6685145318
1	0.6461328195
2	0.62786037
3	0.6101459689
4	0.5943624971
5	0.5806810991
6	0.5686239561
7	0.5569142926
8	0.5466605436
9	0.5378312032
10	0.5300196805
11	0.5229362682
12	0.5167175459
13	0.5105632105
14	0.5057155761
15	0.5015308803
16	0.497888026
17	0.4939611797
18	0.4904539006
19	0.4874089873
20	0.4844338863
21	0.4824761913
22	0.4803570681
23	0.4783772878
24	0.4763866917
25	0.4747166917
26	0.4732628703
27	0.4714974877
28	0.4701865578
29	0.4690447729
30	0.4679439657
31	0.4670621986
32	0.4660879817
33	0.4652387209
34	0.4643636629
35	0.4635104204
36	0.4627639911
37	0.4621837042
38	0.4615847527
39	0.4610486081
40	0.4601236264
41	0.4596315366
42	0.4591719192
43	0.4587925952
44	0.4584113019
45	0.4579140375
46	0.4575451483
47	0.4570584828
48	0.4567249624
49	0.4561779045
50	0.4555904814
51	0.4552312548
52	0.4546999985
53	0.454491769
54	0.4539845572
55	0.4537005698
56	0.4534827907
57	0.4532009647
58	0.4526481633
59	0.4521746263
60	0.4519096026
61	0.4517223653
62	0.4513187878
63	0.4509381893
64	0.4506203187
65	0.4501901239
66	0.4500266706
67	0.4497345016
68	0.4494567122
69	0.4491174662
70	0.4489156772
71	0.4486952614
72	0.4484934632
73	0.4483065879
74	0.4480858711
75	0.4478185624
76	0.4476384157
77	0.4473391301
78	0.4471904198
79	0.4469914766
80	0.4466953423
81	0.446440722
82	0.4461061149
83	0.4458259316
84	0.4456360724
85	0.4452749651
86	0.4450837284
87	0.444782404
88	0.4446284292
89	0.4445652791
90	0.4442787984
91	0.4440400841
92	0.443686588
93	0.4434817761
94	0.4433846447
95	0.4431401956
96	0.4428286819
97	0.4426566702
98	0.4424362267
99	0.44217515
100	0.4418622
101	0.4416338511
102	0.4414550208
103	0.441258363
104	0.4410377218
105	0.4409245647
106	0.4407557205
107	0.4404871582
108	0.4402369631
109	0.439987209
110	0.4398062493
111	0.4396083299
112	0.4394316911
113	0.4392083038
114	0.4390707862
115	0.4389912578
116	0.4388200979
117	0.4385761768
118	0.4383672273
119	0.4381705876
120	0.4379608482
121	0.4378116822
122	0.4376513012
123	0.4375455753
124	0.4373531827
125	0.4371411402
126	0.4369307828
127	0.4367718424
128	0.4366743272
129	0.4365979289
130	0.4364523071
131	0.4362781148
132	0.4359967389
133	0.4358025697
134	0.4355465171
135	0.4353533011
136	0.435273594
137	0.4350907804
138	0.4349429587
139	0.4347799137
140	0.4347005642
141	0.4346100091
142	0.4344887845
143	0.4343526322
144	0.4342631855
145	0.4341182898
146	0.4339816142
147	0.433785876
148	0.4336971796
149	0.4335180782
150	0.4333271074
151	0.4332761443
152	0.4330336128
153	0.4328347321
154	0.4327514382
155	0.4325860794
156	0.4323694367
157	0.4321886923
158	0.4320543366
159	0.4319812832
160	0.4317679046
161	0.4316298659
162	0.4314946732
163	0.4313560301
164	0.4312904642
165	0.4310909146
166	0.4309417051
167	0.4307970417
168	0.4306496079
169	0.4304950919
170	0.430368258
171	0.4302316006
172	0.4301319094
173	0.4299792855
174	0.4298469432
175	0.4296878103
176	0.4295026769
177	0.4293939663
178	0.4292678649
179	0.4291149462
180	0.4290559283
181	0.4289220108
182	0.4287228275
183	0.4286002035
184	0.4284828197
185	0.4284442303
186	0.4282529202
187	0.4281656832
188	0.428001935
189	0.4278772923
190	0.4277642602
191	0.4276331622
192	0.4274669864
193	0.4273154832
194	0.4272391785
195	0.4271043314
196	0.4269162726
197	0.4267924075
198	0.4267223765
199	0.4266268321
200	0.4265205801
201	0.4263957275
202	0.4261539569
203	0.425972783
204	0.4258667312
205	0.4257579488
206	0.4256412876
207	0.4255204603
208	0.4253654588
209	0.4252214359
210	0.4250793936
211	0.4249277112
212	0.4247337419
213	0.4245120269
214	0.4243615706
215	0.4241532623
216	0.4239821057
217	0.4238760246
218	0.4237022342
219	0.4235764466
220	0.4234177097
221	0.4232912687
222	0.4231357747
223	0.4229950679
224	0.4229188571
225	0.4227014461
226	0.4225151719
227	0.4223719054
228	0.4221876715
229	0.4220387257
230	0.4219081192
231	0.4218242425
232	0.4216418766
233	0.4215007038
234	0.4213435283
235	0.4212518096
236	0.4210461756
237	0.4208625631
238	0.4207303878
239	0.4206150427
240	0.4205039886
241	0.4203764075
242	0.4202473321
243	0.4201051157
244	0.4199821541
245	0.4198758892
246	0.4197673434
247	0.4196150122
248	0.4194720122
249	0.4193536231
250	0.4192563384
251	0.419098574
252	0.4189999656
253	0.4188399105
254	0.4187121012
255	0.41861921
256	0.4185154247
257	0.4183778754
258	0.4182609694
259	0.4181550572
260	0.4180435859
261	0.4178728836
262	0.4177521835
263	0.417531138
264	0.417415421
265	0.4172830075
266	0.4171135355
267	0.4169929827
268	0.4168638956
269	0.4166751127
270	0.416575516
271	0.4164625504
272	0.4163280104
273	0.4161667008
274	0.416058783
275	0.4159575951
276	0.4158654302
277	0.4156706251
278	0.4155747895
279	0.4154853558
280	0.4152920984
281	0.415169912
282	0.4150737724
283	0.4148690761
284	0.4147172384
285	0.4145938993
286	0.4144684783
287	0.4143737661
288	0.4142342538
289	0.4140640797
290	0.4138759916
291	0.4137740885
292	0.4136836997
293	0.4136122414
294	0.4135124496
295	0.4133726518
296	0.4132003119
297	0.4130537759
298	0.4128981598
299	0.4126712093
300	0.4125277295
301	0.4123259737
302	0.4121152954
303	0.412002858
304	0.4119000358
305	0.4117518558
306	0.411613257
307	0.4115044566
308	0.4114136664
309	0.4112995997
310	0.411083263
311	0.4109532194
312	0.4108676836
313	0.4107688944
314	0.4106020233
315	0.4104590611
316	0.4103273776
317	0.410149173
318	0.410059154
319	0.4099582231
320	0.4098098181
321	0.409642048
322	0.4095429659
323	0.409377296
324	0.4092766742
325	0.4091753108
326	0.4090384968
327	0.4089400718
328	0.4087273979
329	0.4086366725
330	0.4084966952
331	0.4083735935
332	0.4082712404
333	0.408155123
334	0.4080114225
335	0.4078499606
336	0.4076988764
337	0.4076141233
338	0.4074254603
339	0.4073478437
340	0.4072462512
341	0.4071615048
342	0.4069737613
343	0.4068585778
344	0.4067709921
345	0.406624199
346	0.4064471052
347	0.4063654751
348	0.4062209901
349	0.4060699401
350	0.4059833757
351	0.4058998636
352	0.4058188061
353	0.4057254967
354	0.4055984918
355	0.4054600226
356	0.4053831452
357	0.4052637219
358	0.405193754
359	0.4050142665
360	0.4048995194
361	0.4047562723
362	0.4046535928
363	0.4045701469
364	0.4044782526
365	0.404371918
366	0.4042760786
367	0.4041788846
368	0.4040760464
369	0.4039475652
370	0.4037985819
371	0.4036738
372	0.4035792899
373	0.4034939838
374	0.4033863628
375	0.4032842721
376	0.4032224563
377	0.4030431678
378	0.4029709981
379	0.402880137
380	0.4026761105
381	0.4025965387
382	0.4025300217
383	0.4023712785
384	0.4022710816
385	0.4021694251
386	0.4020375061
387	0.4018943546
388	0.4018307952
389	0.4017202363
390	0.4016260702
391	0.4015732096
392	0.4014715078
393	0.4013581773
394	0.4012158375
395	0.4010620823
396	0.4009086466
397	0.4007360426
398	0.4006222782
399	0.4004442938
400	0.400314608
401	0.4002144025
402	0.4000460402
403	0.3999294703
404	0.3998050136
405	0.3997165943
406	0.3996427511
407	0.3995453617
408	0.3994444448
409	0.3993786635
410	0.3992924986
411	0.3991484877
412	0.3990848568
413	0.3989886762
414	0.3989112412
415	0.3987650517
416	0.3986009881
417	0.398453217
418	0.3983418909
419	0.3982347311
420	0.3980818226
421	0.3979397296
422	0.3978493399
423	0.3977041178
424	0.3976538107
425	0.3975173874
426	0.3974650891
427	0.3973817187
428	0.3973015521
429	0.3972213959
430	0.3971355038
431	0.3970037788
432	0.3968863587
433	0.3968084289
434	0.396709878
435	0.3965811529
436	0.3964682441
437	0.396376666
438	0.3962837742
439	0.3962111523
440	0.3960862762
441	0.395928317
442	0.3958592214
443	0.395777985
444	0.3955671652
445	0.3954964913
446	0.3954355835
447	0.3952851422
448	0.3951871834
449	0.3951471294
450	0.3950049065
451	0.3949160339
452	0.3948258283
453	0.3947745002
454	0.3946778772
455	0.3945420385
456	0.3944577946
457	0.3943911139
458	0.3942061839
459	0.3941216873
460	0.3940304393
461	0.3939767021
462	0.3938647294
463	0.3937827206
464	0.3936686135
465	0.3935706678
466	0.3934750248
467	0.3934101346
468	0.3933160517
469	0.3931956478
470	0.3930652454
471	0.392943413
472	0.3928636255
473	0.3928004128
474	0.3927010667
475	0.3925975381
476	0.392436867
477	0.3923900059
478	0.3922720342
479	0.3921989003
