iter	Passed	Remaining
0	68	34327
1	81	20327
2	96	15988
3	112	14003
4	126	12541
5	138	11379
6	149	10501
7	161	9943
8	175	9593
9	196	9609
10	208	9277
11	223	9074
12	235	8818
13	245	8533
14	256	8303
15	268	8133
16	280	7970
17	292	7831
18	307	7787
19	318	7634
20	329	7507
21	335	7284
22	351	7289
23	362	7188
24	387	7353
25	398	7257
26	411	7200
27	423	7133
28	433	7036
29	443	6953
30	455	6890
31	467	6831
32	480	6794
33	491	6736
34	501	6662
35	511	6596
36	523	6550
37	534	6500
38	545	6448
39	555	6388
40	567	6358
41	577	6302
42	588	6256
43	601	6229
44	612	6196
45	625	6171
46	635	6125
47	645	6076
48	655	6029
49	667	6005
50	679	5979
51	692	5969
52	705	5947
53	715	5911
54	725	5868
55	736	5839
56	747	5809
57	758	5778
58	771	5767
59	783	5749
60	796	5731
61	808	5709
62	818	5680
63	829	5649
64	839	5616
65	851	5600
66	862	5575
67	874	5553
68	888	5551
69	899	5524
70	910	5500
71	922	5486
72	935	5469
73	947	5453
74	960	5443
75	971	5420
76	983	5400
77	995	5384
78	1007	5367
79	1018	5345
80	1029	5325
81	1041	5308
82	1053	5294
83	1064	5269
84	1075	5250
85	1093	5263
86	1108	5262
87	1120	5246
88	1135	5245
89	1148	5230
90	1160	5215
91	1172	5201
92	1185	5188
93	1197	5171
94	1215	5180
95	1226	5159
96	1239	5150
97	1255	5148
98	1267	5135
99	1283	5135
100	1298	5129
101	1313	5124
102	1324	5103
103	1337	5091
104	1349	5078
105	1363	5068
106	1376	5057
107	1388	5040
108	1401	5027
109	1414	5014
110	1425	4995
111	1437	4979
112	1449	4965
113	1461	4947
114	1473	4933
115	1486	4920
116	1497	4902
117	1509	4887
118	1524	4879
119	1535	4863
120	1546	4843
121	1559	4830
122	1571	4815
123	1583	4801
124	1597	4792
125	1612	4786
126	1627	4780
127	1641	4770
128	1652	4752
129	1666	4743
130	1679	4731
131	1691	4715
132	1704	4703
133	1717	4691
134	1731	4682
135	1742	4665
136	1754	4649
137	1766	4634
138	1782	4629
139	1794	4613
140	1805	4597
141	1817	4581
142	1836	4585
143	1852	4579
144	1863	4563
145	1874	4546
146	1887	4531
147	1898	4516
148	1922	4529
149	1945	4540
150	1957	4524
151	1968	4507
152	1979	4489
153	1990	4472
154	2002	4458
155	2014	4441
156	2024	4423
157	2037	4411
158	2051	4399
159	2063	4384
160	2075	4369
161	2088	4357
162	2107	4356
163	2125	4354
164	2137	4339
165	2150	4327
166	2166	4319
167	2182	4312
168	2198	4305
169	2213	4297
170	2225	4281
171	2236	4265
172	2250	4253
173	2262	4239
174	2274	4223
175	2298	4231
176	2316	4226
177	2329	4214
178	2348	4210
179	2361	4199
180	2374	4184
181	2388	4173
182	2400	4157
183	2411	4142
184	2427	4132
185	2437	4114
186	2448	4098
187	2461	4084
188	2473	4069
189	2484	4053
190	2494	4036
191	2508	4024
192	2520	4009
193	2533	3995
194	2543	3978
195	2554	3962
196	2569	3952
197	2579	3935
198	2592	3920
199	2603	3905
200	2615	3890
201	2628	3877
202	2639	3862
203	2652	3848
204	2666	3836
205	2679	3824
206	2691	3809
207	2702	3793
208	2713	3777
209	2727	3766
210	2741	3754
211	2759	3748
212	2773	3736
213	2790	3729
214	2803	3716
215	2815	3701
216	2830	3691
217	2844	3679
218	2858	3667
219	2872	3655
220	2888	3647
221	2901	3633
222	2913	3618
223	2924	3603
224	2938	3591
225	2949	3576
226	2962	3562
227	2974	3548
228	2985	3533
229	3001	3523
230	3012	3507
231	3027	3497
232	3039	3482
233	3053	3470
234	3065	3457
235	3079	3445
236	3092	3432
237	3106	3419
238	3118	3405
239	3131	3392
240	3144	3378
241	3157	3366
242	3173	3356
243	3185	3342
244	3197	3327
245	3209	3313
246	3221	3300
247	3235	3287
248	3248	3274
249	3261	3261
250	3274	3248
251	3289	3237
252	3301	3222
253	3312	3208
254	3326	3195
255	3337	3181
256	3350	3168
257	3363	3154
258	3376	3142
259	3389	3128
260	3400	3113
261	3412	3099
262	3425	3087
263	3438	3074
264	3451	3060
265	3465	3048
266	3479	3036
267	3490	3021
268	3503	3008
269	3515	2994
270	3528	2981
271	3540	2968
272	3553	2954
273	3569	2944
274	3582	2931
275	3593	2916
276	3607	2904
277	3620	2890
278	3633	2877
279	3646	2864
280	3657	2850
281	3670	2837
282	3684	2825
283	3696	2811
284	3709	2798
285	3721	2784
286	3734	2771
287	3751	2761
288	3765	2748
289	3777	2735
290	3789	2721
291	3801	2708
292	3813	2693
293	3824	2679
294	3837	2666
295	3850	2653
296	3860	2638
297	3871	2624
298	3902	2623
299	3936	2624
300	3962	2619
301	3998	2621
302	4015	2610
303	4030	2598
304	4047	2587
305	4061	2575
306	4080	2565
307	4109	2561
308	4122	2548
309	4134	2534
310	4146	2519
311	4159	2506
312	4172	2492
313	4185	2479
314	4198	2465
315	4211	2452
316	4225	2439
317	4235	2424
318	4246	2409
319	4258	2395
320	4271	2381
321	4281	2367
322	4295	2353
323	4306	2339
324	4315	2323
325	4326	2309
326	4338	2295
327	4349	2280
328	4361	2266
329	4371	2251
330	4384	2238
331	4397	2225
332	4410	2211
333	4421	2197
334	4434	2184
335	4444	2169
336	4456	2155
337	4470	2142
338	4480	2128
339	4490	2113
340	4502	2099
341	4515	2086
342	4526	2071
343	4539	2058
344	4552	2045
345	4564	2031
346	4577	2018
347	4588	2004
348	4598	1989
349	4609	1975
350	4621	1961
351	4633	1948
352	4642	1933
353	4654	1919
354	4665	1905
355	4679	1892
356	4690	1878
357	4701	1864
358	4713	1851
359	4724	1837
360	4747	1827
361	4759	1814
362	4770	1800
363	4781	1786
364	4794	1773
365	4805	1759
366	4816	1745
367	4828	1731
368	4842	1719
369	4854	1705
370	4866	1692
371	4877	1678
372	4889	1664
373	4902	1651
374	4916	1638
375	4926	1624
376	4939	1611
377	4950	1597
378	4964	1584
379	4974	1570
380	4985	1557
381	4996	1543
382	5008	1529
383	5019	1516
384	5030	1502
385	5042	1489
386	5054	1475
387	5068	1463
388	5084	1450
389	5094	1437
390	5106	1423
391	5120	1410
392	5133	1397
393	5146	1384
394	5159	1371
395	5171	1358
396	5184	1345
397	5199	1332
398	5213	1319
399	5228	1307
400	5242	1294
401	5254	1280
402	5269	1268
